,Title,Price,Currency,Source,Price_USD,Product
0,"MoEx Coque très Fine en Silicone Compatible avec Samsung Galaxy S Duos 2 | Style Aluminium brossé, Rouge Bordeaux",7.0,EUR,Amazon FR,7.80213,Airpods
1,"MoEx Coque très Fine en Silicone Compatible avec Samsung Galaxy Note8 | Style Aluminium brossé, Noir",9.0,EUR,Amazon FR,10.03131,Airpods
2,"For Samsung Galaxy S25 Ultra 6.8"" Case Shockproof MagSafe Magnetic Matte Cover",10.92,USD,eBay,10.92,Mouse
3,MoEx,9.0,GBP,Amazon CO.UK,11.80449,Airpods
4,"MoEx Verre trempé Compatible avec Samsung Galaxy A51 - Film de Protection en Verre, Film Protecteur d'écran incassable, Film de Verre Pare-balles Transparent, Lot de 2",11.0,EUR,Amazon FR,12.26049,Samsung tv
5,MoEx,11.0,GBP,Amazon CO.UK,14.42771,Samsung tv
6,"MoEx Verre trempé Compatible avec Samsung Galaxy S20 / S20 5G - Film de Protection en Verre, Film Protecteur d'écran incassable, Film de Verre Pare-balles Transparent, Lot de 2",17.0,EUR,Amazon FR,18.94803,Airpods
7,OneFlow,16.0,GBP,Amazon CO.UK,20.98576,Airpods
8,"OneFlow Étui à Paillettes Compatible avec Samsung Galaxy A71 Max, Coque à Paillettes Antichoc, Coque de téléphone Strass Diamant, étui à Paillettes Scintillantes - Gloss - Rosé",19.0,EUR,Amazon FR,21.17721,Samsung tv
9,OneFlow,19.0,GBP,Amazon CO.UK,24.92059,Airpods
10,New ListingSamsung Galaxy A15 5G - 128 GB - Black (Unlocked) Tiktok On It,25.0,USD,eBay,25.0,Samsung tv
11,"Easy Bag Samsung Galaxy S23 Ultra, gris, Taille unique, Sportif",23.0,EUR,Amazon FR,25.63557,Samsung tv
12,MoEx,21.0,GBP,Amazon CO.UK,27.54381,Airpods
13,"MoEx Premium Case + Film de Protection Compatible avec Samsung Galaxy S20 / S20 5G | Etui à Rabat - Protection Avant et arrière + Film pour téléphone, Noir",25.0,EUR,Amazon FR,27.86475,Samsung tv
14,moex Étui horizontal confortable avec clip ceinture compatible avec Samsung Galaxy Note8 - Universel avec passant de ceinture et fermeture magnétique - Noir,27.0,EUR,Amazon FR,30.09393,Mouse
15,Unlocked Motorola Moto G Play 2023 XT2271-5 32GB Navy Blue,50.0,USD,eBay,50.0,Samsung tv
16,Total by Verizon Moto g PURE 32GB Blue Prepaid Smartphone (Locked),64.78,USD,eBay,64.78,Samsung tv
17,UNLOCKED - Samsung Galaxy A02s SM-A025U -32GB Black,75.0,USD,eBay,75.0,Mouse
18,Samsung Galaxy A14 5G SM-A146U 64GB 4GB Unlocked Black Good Condition,79.0,USD,eBay,79.0,Samsung tv
19,OnePlus Nord N200 5G 64GB DE2117 - Factory Unlocked - Android Smartphone Blue,104.99,USD,eBay,104.99,Samsung tv
20,SAMSUNG GALAXY A05. 4G DUAL SIM SM-64GB RAM 4GB,108.31,USD,eBay,108.31,Samsung tv
21,New ListingSamsung Galaxy S10 SM-G973U1 Blue Factory Unlocked All Carriers ☆ NEW NO BOX A++,123.48,USD,eBay,123.48,Samsung tv
22,"Samsung Galaxy S9 (64GB, 4GB) 5.8"" (GSM + CDMA) Fully Unlocked G960U",124.99,USD,eBay,124.99,Mouse
23,Latest Samsung Galaxy A15 5G 128GB SM-A156U Blue Black (Carrier Unlocked),129.98,USD,eBay,129.98,Mouse
24,Samsung Galaxy A15 5G 128GB A156U Unlocked - Excellent,134.99,USD,eBay,134.99,Samsung tv
25,"LG Velvet 5G 128GB G900TM T-Mobile/Unlocked Smartphone, Very Good",134.99,USD,eBay,134.99,Mouse
26,Samsung Galaxy S10e SM-G970 Fully Unlocked 128GB - Excellent,134.99,USD,eBay,134.99,Airpods
27,FULLY UNLOCKED ⭐ Samsung Galaxy A42 5G 128GB Black ⭐  THANKSGIVING SALES,135.0,USD,eBay,135.0,Mouse
28,"New S24 Ultra 5G Smartphone 7.3"" Dual SIM Unlocked Android Mobile Phone 6G+128GB",135.83,USD,eBay,135.83,Samsung tv
29,Samsung Galaxy S20 FE 128GB G781U Unlocked - Very Good,144.99,USD,eBay,144.99,Mouse
30,Samsung Galaxy S21 5G 128GB G991U Unlocked - Good,166.99,USD,eBay,166.99,Mouse
31,"LG V60 ThinQ 5G 128GB V600TM T-Mobile/Unlocked Smartphone, Very Good",169.99,USD,eBay,169.99,Samsung tv
32,Samsung Galaxy S21 5G 128GB G991U Unlocked - Very Good,176.99,USD,eBay,176.99,Samsung tv
33,"NEW! Motorola Moto G Stylus 5G 2024 XT2419-2 (GSM 🔓 Unlocked) 128GB 6.7""",179.5,USD,eBay,179.5,Airpods
34,"Samsung Galaxy S20 Plus S20+ 128GB Unlocked SM-G986U1 6.7"" SM-G986U Very Good",180.95,USD,eBay,180.95,Mouse
35,NEW In Box Samsung Galaxy S9+ Plus G965U 64GB Factory Unlock ATT TMobile Verizon,182.99,USD,eBay,182.99,Samsung tv
36,Samsung Galaxy A16 4GB+128GB [International Version] (Black),167.0,EUR,Amazon DE,186.13653,Samsung tv
37,Samsung Galaxy Z Flip 3 5g Fully Unlocked 128GB - Good,187.0,USD,eBay,187.0,Airpods
38,Google Pixel 7a | 7 | 7 Pro - 128GB 256GB 512GB - Unlocked - Smartphone,189.95,USD,eBay,189.95,Mouse
39,Samsung Galaxy S21 5G SM-G991U1 128GB Unlocked Excellent,189.98,USD,eBay,189.98,Mouse
40,Samsung Galaxy S22 SM-S901U Unlocked 128GB Phantom Black Good,192.99,USD,eBay,192.99,Mouse
41,Samsung Galaxy S21 Plus S21+ 5G 128GB Unlocked SM-G996U1 Very Good,194.95,USD,eBay,194.95,Airpods
42,Samsung Galaxy Note 9  128GB SM-N960U  - Brand New,199.0,USD,eBay,199.0,Airpods
43,Samsung Galaxy S21+ 5G 128GB G996U Unlocked - Very Good,199.99,USD,eBay,199.99,Airpods
44,Samsung Galaxy Xcover 5 G525F DualSim 64GB Enterprise Outdoor Edition incl. VAT,205.18,USD,eBay,205.18,Samsung tv
45,Samsung Galaxy S22 128GB S901U Unlocked - Good,209.99,USD,eBay,209.99,Mouse
46,NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G SM-G986U 128GB BLACK GRAY GSM+CDMA,213.88,USD,eBay,213.88,Airpods
47,NEW UNLOCKED SAMSUNG GALAXY S20 5G SM-G981U 128GB GRAY UNLOCKED GSM+CDMA,216.88,USD,eBay,216.88,Airpods
48,Samsung Galaxy Ring Titanium Black SM-Q503 Smart Ring Bluetooth Size 13,228.99,USD,eBay,228.99,Airpods
49,Samsung Galaxy S21 Ultra 5G 128GB G998U Unlocked - Good,242.99,USD,eBay,242.99,Samsung tv
50,NEW Samsung Galaxy A54 5G SM-A546U 128GB Factory Unlocked Smartphone Cell Phone,246.99,USD,eBay,246.99,Mouse
51,NEW UNLOCKED SAMSUNG GALAXY NOTE 20 5G SM-N981U 128GB ALL COLORS/MEMORY GSM+CDMA,248.88,USD,eBay,248.88,Mouse
52,NEW SEALED Samsung Galaxy S20 Ultra 5G SM-G988U1 128GB Factory Unlocked,249.99,USD,eBay,249.99,Airpods
53,NEW UNLOCKED SAMSUNG GALAXY S20 ULTRA 5G SM-G988U 128GB BLACK GRAY GSM+CDMA,254.88,USD,eBay,254.88,Mouse
54,Samsung Galaxy S22+ 128GB S906U Unlocked - Very Good,262.99,USD,eBay,262.99,Airpods
55,Samsung Galaxy S21 Ultra 5G 128GB G998U Unlocked - Excellent,272.99,USD,eBay,272.99,Mouse
56,Samsung Galaxy Note20 Ultra 128GB N986U Unlocked - Good,277.99,USD,eBay,277.99,Airpods
57,Google Pixel 8 Pro 128GB Verizon - Excellent,297.99,USD,eBay,297.99,Samsung tv
58,New ListingSamsung Galaxy A15 4GB+128GB [International Version] (Light Blue),311.41,USD,eBay,311.41,Airpods
59,Apple iPhone 13 mini - (Unlocked) - 256GB - A2481 - Excellent,339.0,USD,eBay,339.0,Samsung tv
60,Samsung Galaxy S22 Ultra 128GB S908U Unlocked - Very Good,359.99,USD,eBay,359.99,Airpods
61,Samsung,277.0,GBP,Amazon CO.UK,363.31597,Airpods
62,Samsung Galaxy S22 Ultra 512GB S908U Unlocked - Good,404.99,USD,eBay,404.99,Airpods
63,Samsung Galaxy Z Fold4 512GB F936U Unlocked - Good,419.99,USD,eBay,419.99,Airpods
64,Samsung Galaxy S23 S911 128GB Unlocked,429.95,USD,eBay,429.95,Samsung tv
65,Samsung Galaxy Z Fold4 512GB F936U Unlocked - Very Good,447.99,USD,eBay,447.99,Airpods
66,Samsung Galaxy S23+ Plus 5G S916U S916 Unlocked (Any Carrier) 256GB 512GB,459.99,USD,eBay,459.99,Airpods
67,iphone 16,468.68,USD,eBay,468.68,Airpods
68,Samsung Galaxy Z Fold4 512GB F936U Unlocked - Excellent,477.99,USD,eBay,477.99,Mouse
69,OPEN BOX Samsung Galaxy S24+ PLUS 5G SM-926U1 256GB 512GB FACTORY UNLOCKED,639.0,USD,eBay,639.0,Airpods
70,Samsung Galaxy Z Flip 6 256GB Factory Unlocked F741U1 - Excellent,694.99,USD,eBay,694.99,Mouse
71,New Listinggalaxy s24 ultra 512gb,722.78,USD,eBay,722.78,Mouse
72,Samsung Galaxy S24 8/128 Black,702.0,EUR,Amazon FR,782.44218,Samsung tv
73,Samsung Galaxy S24 Ultra 5G S928U1 256GB (Factory Unlocked) - Excellent,813.99,USD,eBay,813.99,Airpods
74,Samsung Galaxy Z Fold 6 256GB Factory Unlocked F956U1 - Excellent,980.99,USD,eBay,980.99,Airpods
